,Count of Pixels,Grayscale Pixel Number
0,1136,0
1,189,1
2,209,2
3,243,3
4,233,4
5,265,5
6,301,6
7,306,7
8,302,8
9,398,9
10,393,10
11,423,11
12,464,12
13,514,13
14,547,14
15,598,15
16,589,16
17,659,17
18,707,18
19,762,19
20,776,20
21,811,21
22,760,22
23,774,23
24,858,24
25,923,25
26,875,26
27,942,27
28,983,28
29,931,29
30,1008,30
31,1002,31
32,1050,32
33,1040,33
34,1033,34
35,1076,35
36,1117,36
37,1068,37
38,1083,38
39,1057,39
40,1091,40
41,1059,41
42,1119,42
43,1082,43
44,1056,44
45,1106,45
46,1096,46
47,1118,47
48,1092,48
49,1119,49
50,1061,50
51,1054,51
52,1107,52
53,1104,53
54,1169,54
55,1161,55
56,1127,56
57,1120,57
58,1110,58
59,1100,59
60,1142,60
61,1073,61
62,1142,62
63,1158,63
64,1119,64
65,1199,65
66,1214,66
67,1152,67
68,1224,68
69,1193,69
70,1217,70
71,1215,71
72,1230,72
73,1200,73
74,1268,74
75,1284,75
76,1224,76
77,1211,77
78,1209,78
79,1225,79
80,1252,80
81,1294,81
82,1271,82
83,1293,83
84,1270,84
85,1292,85
86,1353,86
87,1293,87
88,1282,88
89,1309,89
90,1310,90
91,1298,91
92,1260,92
93,1299,93
94,1318,94
95,1266,95
96,1291,96
97,1246,97
98,1170,98
99,1222,99
100,1229,100
101,1316,101
102,1275,102
103,1307,103
104,1279,104
105,1297,105
106,1299,106
107,1311,107
108,1264,108
109,1372,109
110,1321,110
111,1325,111
112,1356,112
113,1383,113
114,1401,114
115,1327,115
116,1362,116
117,1509,117
118,1464,118
119,1501,119
120,1565,120
121,1539,121
122,1600,122
123,1687,123
124,1687,124
125,1693,125
126,1714,126
127,1649,127
128,1664,128
129,1803,129
130,1810,130
131,1757,131
132,1800,132
133,1892,133
134,1929,134
135,1985,135
136,1964,136
137,2050,137
138,2039,138
139,2167,139
140,2133,140
141,2165,141
142,2241,142
143,2295,143
144,2397,144
145,2433,145
146,2409,146
147,2515,147
148,2521,148
149,2673,149
150,2743,150
151,2783,151
152,2832,152
153,2990,153
154,2941,154
155,3014,155
156,3163,156
157,3157,157
158,3258,158
159,3296,159
160,3282,160
161,3469,161
162,3487,162
163,3717,163
164,3772,164
165,3796,165
166,4067,166
167,4041,167
168,4354,168
169,4612,169
170,4898,170
171,5173,171
172,5318,172
173,5658,173
174,5851,174
175,6253,175
176,6725,176
177,6947,177
178,7252,178
179,7517,179
180,7673,180
181,7897,181
182,8012,182
183,8122,183
184,7669,184
185,7588,185
186,7213,186
187,6976,187
188,6292,188
189,6096,189
190,5437,190
191,4843,191
192,4505,192
193,4147,193
194,3591,194
195,3204,195
196,2881,196
197,2547,197
198,2216,198
199,1924,199
200,1652,200
201,1403,201
202,1242,202
203,1160,203
204,1007,204
205,886,205
206,741,206
207,645,207
208,606,208
209,453,209
210,415,210
211,345,211
212,308,212
213,230,213
214,211,214
215,198,215
216,149,216
217,139,217
218,116,218
219,91,219
220,69,220
221,74,221
222,47,222
223,42,223
224,39,224
225,40,225
226,27,226
227,17,227
228,21,228
229,15,229
230,19,230
231,9,231
232,8,232
233,13,233
234,8,234
235,8,235
236,11,236
237,4,237
238,5,238
239,4,239
240,1,241
241,3,242
242,4,243
243,3,244
244,1,249
245,4,250
