,Count of Pixels,Grayscale Pixel Number
0,4,3
1,3,4
2,5,5
3,7,6
4,8,7
5,7,8
6,15,9
7,33,10
8,35,11
9,43,12
10,59,13
11,60,14
12,71,15
13,91,16
14,115,17
15,185,18
16,186,19
17,198,20
18,242,21
19,286,22
20,322,23
21,344,24
22,406,25
23,472,26
24,538,27
25,635,28
26,634,29
27,697,30
28,792,31
29,864,32
30,853,33
31,1050,34
32,1059,35
33,1109,36
34,1199,37
35,1303,38
36,1288,39
37,1489,40
38,1541,41
39,1644,42
40,1707,43
41,1785,44
42,1949,45
43,1889,46
44,2090,47
45,2205,48
46,2261,49
47,2330,50
48,2483,51
49,2600,52
50,2636,53
51,2834,54
52,2755,55
53,3024,56
54,3003,57
55,3207,58
56,3388,59
57,3465,60
58,3569,61
59,3648,62
60,3714,63
61,3841,64
62,3825,65
63,3803,66
64,3935,67
65,4086,68
66,4362,69
67,4489,70
68,4614,71
69,4588,72
70,4708,73
71,4922,74
72,5063,75
73,5130,76
74,5145,77
75,5397,78
76,5403,79
77,5492,80
78,5668,81
79,5637,82
80,5714,83
81,5775,84
82,5803,85
83,5839,86
84,5885,87
85,6090,88
86,6082,89
87,6141,90
88,6068,91
89,6247,92
90,6208,93
91,6376,94
92,6430,95
93,6359,96
94,6448,97
95,6391,98
96,6456,99
97,6298,100
98,6628,101
99,6504,102
100,6406,103
101,6383,104
102,6466,105
103,6570,106
104,6334,107
105,6536,108
106,6550,109
107,6415,110
108,6543,111
109,6438,112
110,6382,113
111,6353,114
112,6322,115
113,6414,116
114,6243,117
115,6227,118
116,6153,119
117,6287,120
118,6123,121
119,6207,122
120,6129,123
121,6080,124
122,6172,125
123,6200,126
124,6189,127
125,6231,128
126,6159,129
127,5941,130
128,5755,131
129,6022,132
130,6044,133
131,6002,134
132,6269,135
133,6070,136
134,6017,137
135,5909,138
136,6152,139
137,6193,140
138,6177,141
139,6081,142
140,6168,143
141,6002,144
142,6083,145
143,6111,146
144,6238,147
145,6191,148
146,6257,149
147,6045,150
148,6197,151
149,6113,152
150,6207,153
151,6456,154
152,6452,155
153,6109,156
154,6495,157
155,6497,158
156,6673,159
157,6599,160
158,6793,161
159,6657,162
160,6768,163
161,6549,164
162,6752,165
163,6822,166
164,6947,167
165,6968,168
166,7114,169
167,7118,170
168,7124,171
169,7158,172
170,7293,173
171,7184,174
172,7294,175
173,7384,176
174,7236,177
175,7575,178
176,7785,179
177,7677,180
178,8474,181
179,8237,182
180,8505,183
181,8488,184
182,8986,185
183,9060,186
184,9409,187
185,9695,188
186,10225,189
187,11013,190
188,12349,191
189,13600,192
190,15880,193
191,13648,194
192,20306,195
193,22568,196
194,24095,197
195,25014,198
196,25685,199
197,27144,200
198,29060,201
199,30852,202
200,32890,203
201,35056,204
202,37219,205
203,38056,206
204,40140,207
205,40845,208
206,39659,209
207,37878,210
208,34497,211
209,30905,212
210,26901,213
211,19595,214
212,13462,215
213,8547,216
214,5142,217
215,3306,218
216,2665,219
217,2265,220
218,1932,221
219,1629,222
220,1431,223
221,1163,224
222,1046,225
223,912,226
224,752,227
225,642,228
226,507,229
227,393,230
228,341,231
229,256,232
230,204,233
231,167,234
232,136,235
233,112,236
234,107,237
235,78,238
236,38,239
237,38,240
238,16,241
239,28,242
240,9,243
241,13,244
242,8,245
243,2,246
244,1,247
245,1,249
246,1,250
